Squad,Nb_Players,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,saison
Augsburg,29,26.8,44.3,34,374,3060,34.0,35,26,61,34,1,2,78,5,1.03,0.76,1.79,1.0,1.76,bundesliga,2024-2025
Bayern Munich,29,27.7,67.9,34,374,3060,34.0,96,66,162,87,9,10,48,1,2.82,1.94,4.76,2.56,4.5,bundesliga,2024-2025
Bochum,27,28.0,45.5,34,374,3060,34.0,32,23,55,31,1,3,71,2,0.94,0.68,1.62,0.91,1.59,bundesliga,2024-2025
Dortmund,28,26.6,58.9,34,374,3060,34.0,69,56,125,64,5,6,71,6,2.03,1.65,3.68,1.88,3.53,bundesliga,2024-2025
Eintracht Frankfurt,26,24.9,49.7,34,374,3060,34.0,68,47,115,65,3,5,55,1,2.0,1.38,3.38,1.91,3.29,bundesliga,2024-2025
Freiburg,26,27.1,48.7,34,374,3060,34.0,46,35,81,46,0,4,54,2,1.35,1.03,2.38,1.35,2.38,bundesliga,2024-2025
Gladbach,26,26.5,49.6,34,374,3060,34.0,53,39,92,49,4,5,53,3,1.56,1.15,2.71,1.44,2.59,bundesliga,2024-2025
Heidenheim,27,26.8,43.5,34,374,3060,34.0,37,26,63,32,5,5,66,1,1.09,0.76,1.85,0.94,1.71,bundesliga,2024-2025
Hoffenheim,35,26.4,48.7,34,374,3060,34.0,46,30,76,43,3,3,66,2,1.35,0.88,2.24,1.26,2.15,bundesliga,2024-2025
Holstein Kiel,27,25.6,43.6,34,374,3060,34.0,49,29,78,45,4,5,77,4,1.44,0.85,2.29,1.32,2.18,bundesliga,2024-2025
Leverkusen,23,27.0,59.2,34,374,3060,34.0,70,53,123,67,3,6,62,1,2.06,1.56,3.62,1.97,3.53,bundesliga,2024-2025
Mainz 05,25,27.4,50.4,34,374,3060,34.0,53,37,90,49,4,4,71,5,1.56,1.09,2.65,1.44,2.53,bundesliga,2024-2025
RB Leipzig,29,25.3,52.2,34,374,3060,34.0,51,36,87,48,3,4,68,5,1.5,1.06,2.56,1.41,2.47,bundesliga,2024-2025
St Pauli,28,26.9,44.2,34,374,3060,34.0,26,22,48,25,1,2,53,4,0.76,0.65,1.41,0.74,1.38,bundesliga,2024-2025
Stuttgart,29,24.9,57.2,34,374,3060,34.0,61,45,106,59,2,6,72,5,1.79,1.32,3.12,1.74,3.06,bundesliga,2024-2025
Union Berlin,28,27.2,40.0,34,374,3060,34.0,36,25,61,33,3,3,72,1,1.06,0.74,1.79,0.97,1.71,bundesliga,2024-2025
Werder Bremen,23,27.5,50.0,34,374,3060,34.0,53,38,91,50,3,5,75,4,1.56,1.12,2.68,1.47,2.59,bundesliga,2024-2025
Wolfsburg,27,25.2,46.1,34,374,3060,34.0,53,38,91,49,4,5,75,3,1.56,1.12,2.68,1.44,2.56,bundesliga,2024-2025
