player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
7310786d,1,Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
32c2d95f,2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,36.0,1987.0,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
7978cbf0,3,Himad Abdelli,ALG,MF,Angers,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.1,0.13,Matches,ligue1,2024-2025
bff15d74,4,Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
ad7cdb35,5,Ali Abdi,TUN,MF,Nice,30.0,1993.0,25,17,1393,15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches,ligue1,2024-2025
0e46fa2f,6,Matthis Abline,FRA,FW,Nantes,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33,Matches,ligue1,2024-2025
7f9c5d2d,7,Abner,BRA,"DF,MF",Lyon,24.0,2000.0,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches,ligue1,2024-2025
c2a6033c,8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,26,22,1901,21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,Matches,ligue1,2024-2025
2ccd39ed,9,Akor Adams,NGA,FW,Montpellier,24.0,2000.0,15,13,1075,11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,ligue1,2024-2025
7587446d,10,Martin Adeline,FRA,MF,Reims,20.0,2003.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
e980e78d,11,Adryelson,BRA,DF,Lyon,26.0,1998.0,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
75f1ed80,12,Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
3d6aaa54,13,Jeremy Agbonifo,SWE,FW,Lens,18.0,2005.0,8,1,300,3.3,1,0,1,1,0,0,1,0,0.3,0.0,0.3,0.3,0.3,Matches,ligue1,2024-2025
3dd738a1,14,Ruben Aguilar,FRA,"MF,DF",Lens,31.0,1993.0,16,13,1124,12.5,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches,ligue1,2024-2025
a6c58494,15,Naouirou Ahamada,FRA,MF,Rennes,22.0,2002.0,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
48b28bfd,16,Jean-Eudes Aholou,CIV,MF,Angers,30.0,1994.0,26,26,1959,21.8,2,0,2,2,0,0,7,0,0.09,0.0,0.09,0.09,0.09,Matches,ligue1,2024-2025
8399c416,17,Ayman Aiki,FRA,MF,Saint-Étienne,19.0,2005.0,5,1,127,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
462475ed,18,Ludovic Ajorque,FRA,FW,Brest,30.0,1994.0,31,29,2495,27.7,13,2,15,13,0,1,5,0,0.47,0.07,0.54,0.47,0.54,Matches,ligue1,2024-2025
d746900e,19,Ümit Akdag,ROU,DF,Toulouse,20.0,2003.0,9,6,500,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
06efa9dc,20,Sergio Akieme,ESP,DF,Reims,26.0,1997.0,30,29,2523,28.0,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,Matches,ligue1,2024-2025
b625b241,21,Maghnes Akliouche,FRA,MF,Monaco,22.0,2002.0,32,27,2406,26.7,5,10,15,4,1,1,2,0,0.19,0.37,0.56,0.15,0.52,Matches,ligue1,2024-2025
31f5b89b,22,Paul Akouokou,CIV,MF,Lyon,26.0,1997.0,2,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
0abb5072,23,Clément Akpa,CIV,DF,Auxerre,22.0,2001.0,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.0,0.04,0.04,0.0,0.04,Matches,ligue1,2024-2025
e2b384d2,24,Chuba Akpom,ENG,FW,Lille,28.0,1995.0,14,6,639,7.1,3,1,4,2,1,2,0,0,0.42,0.14,0.56,0.28,0.42,Matches,ligue1,2024-2025
f8405304,25,Mohamed Ali Cho,FRA,"FW,MF",Nice,20.0,2004.0,27,21,1621,18.0,3,4,7,3,0,0,2,0,0.17,0.22,0.39,0.17,0.39,Matches,ligue1,2024-2025
1956b948,26,Jim Allevinah,GAB,MF,Angers,29.0,1995.0,28,23,1750,19.4,1,3,4,1,0,0,3,0,0.05,0.15,0.21,0.05,0.21,Matches,ligue1,2024-2025
27f33438,27,Thiago Almada,ARG,MF,Lyon,23.0,2001.0,16,9,951,10.6,1,4,5,1,0,0,3,0,0.09,0.38,0.47,0.09,0.47,Matches,ligue1,2024-2025
22721b88,28,Jordan Amavi,FRA,DF,Brest,30.0,1994.0,11,8,790,8.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
