Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,saison
Atalanta,32,27.1,55.3,38,418,3420,38.0,76,54,130,71,5,7,67,1,2.0,1.42,3.42,1.87,3.29,seriea,2024-2025
Bologna,30,26.4,58.1,38,418,3420,38.0,56,43,99,50,6,7,61,4,1.47,1.13,2.61,1.32,2.45,seriea,2024-2025
Cagliari,28,26.6,44.9,38,418,3420,38.0,38,31,69,35,3,3,68,3,1.0,0.82,1.82,0.92,1.74,seriea,2024-2025
Como,38,26.3,54.6,38,418,3420,38.0,44,39,83,44,0,2,87,7,1.16,1.03,2.18,1.16,2.18,seriea,2024-2025
Empoli,34,25.4,41.7,38,418,3420,38.0,31,21,52,29,2,3,68,5,0.82,0.55,1.37,0.76,1.32,seriea,2024-2025
Fiorentina,34,26.3,51.0,38,418,3420,38.0,58,39,97,52,6,8,82,3,1.53,1.03,2.55,1.37,2.39,seriea,2024-2025
Genoa,37,26.2,45.6,38,418,3420,38.0,35,27,62,35,0,2,71,1,0.92,0.71,1.63,0.92,1.63,seriea,2024-2025
Hellas Verona,32,25.1,38.7,38,418,3420,38.0,31,20,51,29,2,2,98,9,0.82,0.53,1.34,0.76,1.29,seriea,2024-2025
Inter,26,29.4,59.4,38,418,3420,38.0,76,57,133,68,8,9,56,1,2.0,1.5,3.5,1.79,3.29,seriea,2024-2025
Juventus,29,24.6,57.2,38,418,3420,38.0,56,40,96,50,6,6,67,3,1.47,1.05,2.53,1.32,2.37,seriea,2024-2025
Lazio,27,27.1,55.1,38,418,3420,38.0,60,43,103,54,6,7,93,7,1.58,1.13,2.71,1.42,2.55,seriea,2024-2025
Lecce,31,26.1,43.8,38,418,3420,38.0,27,21,48,24,3,4,61,7,0.71,0.55,1.26,0.63,1.18,seriea,2024-2025
Milan,35,25.6,53.9,38,418,3420,38.0,59,43,102,55,4,8,70,6,1.55,1.13,2.68,1.45,2.58,seriea,2024-2025
Monza,36,26.8,48.5,38,418,3420,38.0,27,18,45,24,3,3,90,3,0.71,0.47,1.18,0.63,1.11,seriea,2024-2025
Napoli,27,28.6,54.6,38,418,3420,38.0,56,42,98,52,4,5,47,0,1.47,1.11,2.58,1.37,2.47,seriea,2024-2025
Parma,32,23.8,44.2,38,418,3420,38.0,43,31,74,37,6,7,78,6,1.13,0.82,1.95,0.97,1.79,seriea,2024-2025
Roma,28,26.5,53.9,38,418,3420,38.0,55,35,90,47,8,8,66,1,1.45,0.92,2.37,1.24,2.16,seriea,2024-2025
Torino,31,26.7,47.5,38,418,3420,38.0,36,21,57,34,2,4,80,3,0.95,0.55,1.5,0.89,1.45,seriea,2024-2025
Udinese,31,26.4,47.2,38,418,3420,38.0,41,28,69,39,2,4,88,5,1.08,0.74,1.82,1.03,1.76,seriea,2024-2025
Venezia,36,25.4,45.1,38,418,3420,38.0,31,16,47,27,4,5,75,2,0.82,0.42,1.24,0.71,1.13,seriea,2024-2025
