Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Notes,league,saison
1,eng Liverpool,8,7,0,1,17,5,12,21,→ Round of 16,ucl,2024-2025
2,es Barcelona,8,6,1,1,28,13,15,19,→ Round of 16,ucl,2024-2025
3,eng Arsenal,8,6,1,1,16,3,13,19,→ Round of 16,ucl,2024-2025
4,it Inter,8,6,1,1,11,1,10,19,→ Round of 16,ucl,2024-2025
5,es Atlético Madrid,8,6,0,2,20,12,8,18,→ Round of 16,ucl,2024-2025
6,de Leverkusen,8,5,1,2,15,7,8,16,→ Round of 16,ucl,2024-2025
7,fr Lille,8,5,1,2,17,10,7,16,→ Round of 16,ucl,2024-2025
8,eng Aston Villa,8,5,1,2,13,6,7,16,→ Round of 16,ucl,2024-2025
9,it Atalanta,8,4,3,1,20,6,14,15,→ Knockout phase play-offs,ucl,2024-2025
10,de Dortmund,8,5,0,3,22,12,10,15,→ Knockout phase play-offs,ucl,2024-2025
11,es Real Madrid,8,5,0,3,20,12,8,15,→ Knockout phase play-offs,ucl,2024-2025
12,de Bayern Munich,8,5,0,3,20,12,8,15,→ Knockout phase play-offs,ucl,2024-2025
13,it Milan,8,5,0,3,14,11,3,15,→ Knockout phase play-offs,ucl,2024-2025
14,nl PSV,8,4,2,2,16,12,4,14,→ Knockout phase play-offs,ucl,2024-2025
15,fr Paris Saint-Germain,8,4,1,3,14,9,5,13,→ Knockout phase play-offs,ucl,2024-2025
16,pt Benfica,8,4,1,3,16,12,4,13,→ Knockout phase play-offs,ucl,2024-2025
17,fr Monaco,8,4,1,3,13,13,0,13,→ Knockout phase play-offs,ucl,2024-2025
18,fr Brest,8,4,1,3,10,11,-1,13,→ Knockout phase play-offs,ucl,2024-2025
19,nl Feyenoord,8,4,1,3,18,21,-3,13,→ Knockout phase play-offs,ucl,2024-2025
20,it Juventus,8,3,3,2,9,7,2,12,→ Knockout phase play-offs,ucl,2024-2025
21,sct Celtic,8,3,3,2,13,14,-1,12,→ Knockout phase play-offs,ucl,2024-2025
22,eng Manchester City,8,3,2,3,18,14,4,11,→ Knockout phase play-offs,ucl,2024-2025
23,pt Sporting CP,8,3,2,3,13,12,1,11,→ Knockout phase play-offs,ucl,2024-2025
24,be Club Brugge,8,3,2,3,7,11,-4,11,→ Knockout phase play-offs,ucl,2024-2025
25,hr Dinamo Zagreb,8,3,2,3,12,19,-7,11,,ucl,2024-2025
26,de Stuttgart,8,3,1,4,13,17,-4,10,,ucl,2024-2025
27,ua Shakhtar Donetsk,8,2,1,5,8,16,-8,7,,ucl,2024-2025
28,it Bologna,8,1,3,4,4,9,-5,6,,ucl,2024-2025
29,rs Red Star,8,2,0,6,13,22,-9,6,,ucl,2024-2025
30,at Sturm Graz,8,2,0,6,5,14,-9,6,,ucl,2024-2025
31,cz Sparta Prague,8,1,1,6,7,21,-14,4,,ucl,2024-2025
32,de RB Leipzig,8,1,0,7,8,15,-7,3,,ucl,2024-2025
33,es Girona,8,1,0,7,5,13,-8,3,,ucl,2024-2025
34,at RB Salzburg,8,1,0,7,5,27,-22,3,,ucl,2024-2025
35,sk Slovan Bratislava,8,0,0,8,7,27,-20,0,,ucl,2024-2025
36,ch Young Boys,8,0,0,8,3,24,-21,0,,ucl,2024-2025
