Squad,Nb_Players,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,saison
eng Arsenal,24,25.8,50.9,14,154,1260,14.0,30,18,48,28,2,5,27,0,2.14,1.29,3.43,2.0,3.29,ucl,2024-2025
eng Aston Villa,25,27.1,47.3,12,132,1080,12.0,22,18,40,21,1,2,19,0,1.83,1.5,3.33,1.75,3.25,ucl,2024-2025
it Atalanta,24,27.7,53.3,10,110,900,10.0,22,19,41,21,1,3,19,1,2.2,1.9,4.1,2.1,4.0,ucl,2024-2025
es Atlético Madrid,23,28.5,47.4,10,110,930,10.3,22,17,39,22,0,0,18,1,2.13,1.65,3.77,2.13,3.77,ucl,2024-2025
es Barcelona,27,25.1,61.3,14,154,1290,14.3,40,30,70,37,3,3,14,2,2.79,2.09,4.88,2.58,4.67,ucl,2024-2025
de Bayern Munich,27,27.7,64.7,14,154,1260,14.0,31,16,47,26,5,5,22,0,2.21,1.14,3.36,1.86,3.0,ucl,2024-2025
pt Benfica,23,25.8,44.7,12,132,1080,12.0,20,9,29,16,4,4,28,1,1.67,0.75,2.42,1.33,2.08,ucl,2024-2025
it Bologna,24,26.0,49.3,8,88,720,8.0,4,3,7,4,0,0,28,0,0.5,0.37,0.87,0.5,0.87,ucl,2024-2025
fr Brest,23,28.0,41.8,10,110,900,10.0,9,3,12,9,0,0,20,0,0.9,0.3,1.2,0.9,1.2,ucl,2024-2025
sct Celtic,24,27.1,50.9,10,110,900,10.0,14,10,24,13,1,2,10,1,1.4,1.0,2.4,1.3,2.3,ucl,2024-2025
be Club Brugge,21,25.5,43.8,12,132,1080,12.0,11,7,18,9,2,2,19,2,0.92,0.58,1.5,0.75,1.33,ucl,2024-2025
hr Dinamo Zagreb,25,27.3,37.9,8,88,720,8.0,12,10,22,12,0,0,19,0,1.5,1.25,2.75,1.5,2.75,ucl,2024-2025
